ID,Name,Description,Tree_Is_Rooted,Tree_Type,Tree_Branch_Length_Unit,Media_ID,Source
STATE_421,STATE_421,bayesian,,sample,,posterior,
STATE_422,STATE_422,bayesian,,sample,,posterior,
STATE_423,STATE_423,bayesian,,sample,,posterior,
STATE_424,STATE_424,bayesian,,sample,,posterior,
STATE_425,STATE_425,bayesian,,sample,,posterior,
STATE_426,STATE_426,bayesian,,sample,,posterior,
STATE_427,STATE_427,bayesian,,sample,,posterior,
STATE_428,STATE_428,bayesian,,sample,,posterior,
STATE_429,STATE_429,bayesian,,sample,,posterior,
STATE_430,STATE_430,bayesian,,sample,,posterior,
STATE_431,STATE_431,bayesian,,sample,,posterior,
STATE_432,STATE_432,bayesian,,sample,,posterior,
STATE_433,STATE_433,bayesian,,sample,,posterior,
STATE_434,STATE_434,bayesian,,sample,,posterior,
STATE_435,STATE_435,bayesian,,sample,,posterior,
STATE_436,STATE_436,bayesian,,sample,,posterior,
STATE_437,STATE_437,bayesian,,sample,,posterior,
STATE_438,STATE_438,bayesian,,sample,,posterior,
STATE_439,STATE_439,bayesian,,sample,,posterior,
STATE_440,STATE_440,bayesian,,sample,,posterior,
STATE_441,STATE_441,bayesian,,sample,,posterior,
STATE_442,STATE_442,bayesian,,sample,,posterior,
STATE_443,STATE_443,bayesian,,sample,,posterior,
STATE_444,STATE_444,bayesian,,sample,,posterior,
STATE_445,STATE_445,bayesian,,sample,,posterior,
STATE_446,STATE_446,bayesian,,sample,,posterior,
STATE_447,STATE_447,bayesian,,sample,,posterior,
STATE_448,STATE_448,bayesian,,sample,,posterior,
STATE_449,STATE_449,bayesian,,sample,,posterior,
STATE_450,STATE_450,bayesian,,sample,,posterior,
STATE_451,STATE_451,bayesian,,sample,,posterior,
STATE_452,STATE_452,bayesian,,sample,,posterior,
STATE_453,STATE_453,bayesian,,sample,,posterior,
STATE_454,STATE_454,bayesian,,sample,,posterior,
STATE_455,STATE_455,bayesian,,sample,,posterior,
STATE_456,STATE_456,bayesian,,sample,,posterior,
STATE_457,STATE_457,bayesian,,sample,,posterior,
STATE_458,STATE_458,bayesian,,sample,,posterior,
STATE_459,STATE_459,bayesian,,sample,,posterior,
STATE_460,STATE_460,bayesian,,sample,,posterior,
STATE_461,STATE_461,bayesian,,sample,,posterior,
STATE_462,STATE_462,bayesian,,sample,,posterior,
STATE_463,STATE_463,bayesian,,sample,,posterior,
STATE_464,STATE_464,bayesian,,sample,,posterior,
STATE_465,STATE_465,bayesian,,sample,,posterior,
